order,hmax,C_w,ndof,res,E_u,E_curl_u,E_H_curl_u,E_p,E_grad_p,E_gamma_p_u,E_u_n_Gamma,HT_E_gamma_p_u,HT_E_gamma_n_u,HT_E_u,E_h_grad_p,X_E_u_p
1,0.4330127018922193,1.0,218,ZeroCoefficientFunction,0.8344216671984275,7.698520689922973,7.743608999159391,3.6756362960020432,29.192727095893577,0.7501266686031202,2.2776292831591594,3.2210542223017935,13.725532721281152,16.0850526613322,14.596363547946789,22.029367901103004
1,0.4330127018922193,1.096478196143185,218,ZeroCoefficientFunction,0.43848363862658263,3.759994588286942,3.785475822837903,1.7968704455542084,14.17855410533199,0.7501266686031202,1.1512777230129703,1.628152569942958,6.771584627464374,7.926857281622647,7.089277052665995,10.785251915962688
1,0.4330127018922193,1.202264434617413,218,ZeroCoefficientFunction,0.3676062879953537,2.912019146910658,2.9351303028908275,1.3983090545639671,10.684401235358855,0.7501266686031202,0.917537750226181,1.2975943303591626,5.241737222219222,6.14610039357695,5.342200617679428,8.262501176976423
1,0.4330127018922193,1.318256738556407,218,ZeroCoefficientFunction,0.4051080745820208,3.1023233605985654,3.12866150067519,1.4950869311025305,10.851208334007405,0.7501266686031202,0.9867587323213669,1.3954875820389596,5.5287613432445895,6.504084129836251,5.425604167003702,8.600905526544825
1,0.4330127018922193,1.4454397707459274,218,ZeroCoefficientFunction,0.9479696687613458,7.66737676863753,7.725756468148215,3.711215546221339,26.220740640403196,0.7501266686031202,2.426700279355622,3.431872446879299,13.677427342318605,16.079088288867247,13.110370320201598,21.07586323177596
1,0.4330127018922193,1.5848931924611136,218,ZeroCoefficientFunction,0.6323988404143471,5.333281692343577,5.370644458837745,2.468998241748495,17.336428956069003,0.7501266686031202,1.7113392609144091,2.4201991926067064,9.414373143699194,11.10547647442213,8.668214478034502,14.302639696185718
1,0.4330127018922193,1.7378008287493754,218,ZeroCoefficientFunction,2.726103687825822,23.32604805119674,23.484806982462445,10.21921604672929,65.70149526885264,0.7501266686031202,7.388150030717301,10.448421974287607,40.70497625301965,48.14146624808167,32.85074763442632,59.17097911363038
1,0.4330127018922193,1.9054607179632472,218,ZeroCoefficientFunction,0.5687406192460914,4.937208619476979,4.969858634228765,2.075366402046103,13.631814436154746,0.7501266686031202,1.5922077350629724,2.2517217730414036,8.835035359992968,10.384006721864784,6.815907218077373,12.593305066896221
1,0.4330127018922193,2.0892961308540396,218,ZeroCoefficientFunction,0.38589815725878973,3.177595634107978,3.200942267782693,1.1165594327177712,7.725713358609602,0.7501266686031202,1.0399461318877343,1.470705923853073,5.6252111612653355,6.637168667809974,3.862856679304801,7.760178774783425
1,0.4330127018922193,2.290867652767773,218,ZeroCoefficientFunction,0.8140913568663175,6.608746266383591,6.65869896832433,1.5154615374098181,10.624166997924595,0.7501266686031202,2.1135167615619594,2.9889640685037864,11.461314059530405,13.588005671354408,5.312083498962298,14.667949853202922
1,0.4330127018922193,2.51188643150958,218,ZeroCoefficientFunction,1.355948459708235,11.090138840853058,11.172724633444734,2.262781238802966,14.274512698749401,0.7501266686031202,3.578757878827668,5.061127928687657,19.394400391434978,22.94749568446671,7.1372563493747005,24.13810608394922
1,0.4330127018922193,2.7542287033381663,218,ZeroCoefficientFunction,0.3903404259490933,3.035673044199214,3.0606660189259203,0.7988431426095625,6.104106977749554,0.7501266686031202,0.9910795594828535,1.401598154411404,5.892661429844966,6.786428559458931,3.052053488874777,7.483902288117266
1,0.4330127018922193,3.019951720402016,218,ZeroCoefficientFunction,0.2433258893353784,1.7477418907747189,1.764598879402807,0.644411124818024,5.2936642506317675,0.7501266686031202,0.5850423917553165,0.8273748849835619,3.7545161130972926,4.230218628983425,2.6468321253158837,5.031474500222757
1,0.4330127018922193,3.311311214825911,218,ZeroCoefficientFunction,0.2077601272241199,1.433106731547923,1.4480881100513714,0.6278475936469468,5.371887640345951,0.7501266686031202,0.4757758213058517,0.6728486191399337,3.2914648683062118,3.6583364276737447,2.6859438201729753,4.581693161268916
1,0.4330127018922193,3.630780547701014,218,ZeroCoefficientFunction,0.1996871945608285,1.4261042631358212,1.4400167863624849,0.6561040839619731,5.875317336294069,0.7501266686031202,0.4454034555587618,0.6298956075790431,3.3990310871415543,3.7448403374253227,2.9376586681470345,4.804595734537798
1,0.4330127018922193,3.9810717055349722,218,ZeroCoefficientFunction,0.21150555689773154,1.7418507260364822,1.7546448507867451,0.7476749171245776,7.146452448550631,0.7501266686031202,0.4818080752178823,0.6813795144340055,4.216025351371917,4.617133998325525,3.5732262242753157,5.885990977740242
1,0.4330127018922193,4.36515832240166,218,ZeroCoefficientFunction,0.2947340173344815,3.2771071725924465,3.290334262902628,1.1382275925720826,12.074756005858251,0.7501266686031202,0.774565575813164,1.0954011422623022,7.974585952811105,8.695988980148995,6.037378002929126,10.647333917259179
1,0.4330127018922193,4.786300923226384,218,ZeroCoefficientFunction,1.6906353457999614,23.266729332287536,23.328071966932832,6.1005523805849355,68.76129059169206,0.7501266686031202,5.364234234628697,7.586172806357962,56.63318457698561,61.717635687648006,34.38064529584603,70.9105920521066
1,0.4330127018922193,5.248074602497725,218,ZeroCoefficientFunction,0.20908071714287477,2.411627170658266,2.42067353365508,0.5781022007782599,5.428815718138251,0.7501266686031202,0.6454992660812087,0.9128738165939244,5.916956636222766,6.457815017209889,2.7144078590691256,7.028910795878865
