C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,4.6339063810026136e-08,9.297503697709948e-07,1.2013472036601005e-06,0.0001053237561901
1.5848931924611136,4.595367173746186e-08,8.969693155118362e-07,1.0230106994798433e-06,0.000100436103275
2.51188643150958,4.5577847374352094e-08,8.683377872359226e-07,8.099335844264463e-07,9.54962136878982e-05
3.981071705534973,4.5306289107230856e-08,8.655547131499172e-07,5.917243808488095e-07,9.2236772023972e-05
6.309573444801933,4.5273257062751394e-08,9.511012032708276e-07,4.450458854023203e-07,9.448970993042564e-05
10.0,4.610345259140677e-08,1.5199076356958368e-06,5.349195586084665e-07,0.0001224897588771
15.848931924611133,1.6187823767731293e-07,2.6047527298050563e-05,4.482447676338606e-06,0.0007898302096062
25.118864315095795,4.4049919543231496e-08,1.3956811303937231e-06,4.5631609443542133e-07,4.025339071030691e-05
39.81071705534973,4.4452375811860556e-08,2.983441694464586e-07,6.529100105929256e-07,5.7367025778536215e-05
63.09573444801933,4.467488019161228e-08,2.685361414096669e-07,7.604116817010279e-07,6.467555223690528e-05
