C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,1.893368466837776e-06,0.0003872079051926,0.0001915281259017,0.0543449278566786
1.5848931924611136,0.0002184274049959,0.059221819690245,0.0275151492825593,7.464977896894814
2.51188643150958,1.375300524178031e-06,0.0001776026983388,7.10992338877425e-05,0.0192919443725626
3.981071705534973,1.244427666166223e-06,6.16318907641116e-05,1.949508875286563e-05,0.0055377610326367
6.309573444801933,1.2356077834700688e-06,3.686085745943623e-05,1.514196343001442e-05,0.0040803211811127
10.0,1.2657925928889232e-06,0.0001227918339854,6.816615970382593e-06,0.0021652491429636
15.848931924611133,1.2315611998156251e-06,9.283391899993749e-06,1.6580241384489993e-05,0.004757895575209
25.118864315095795,1.2332380489696626e-06,9.859241617623692e-06,1.9897082968834737e-05,0.0058936221541458
39.81071705534973,1.2342907482349382e-06,1.2623218361022715e-05,2.1931626298464225e-05,0.0066461687737486
63.09573444801933,1.2350082478363891e-06,1.4716630720661448e-05,2.3258251720164345e-05,0.0071565536489484
