C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,4.3455402684854346e-11,1.847586574456405e-09,2.513130083980625e-09,8.297638289507654e-07
1.5848931924611136,4.333265884391845e-11,1.7762668893114175e-09,2.115919364410442e-09,7.87778833922746e-07
2.51188643150958,4.321440077337728e-11,1.7140152066758171e-09,1.646570504146799e-09,7.451605466460772e-07
3.981071705534973,4.3127135205251806e-11,1.703998205905956e-09,1.1696696081541403e-09,7.151749566391188e-07
6.309573444801933,4.310275043829269e-11,1.8623185562993201e-09,8.464454110776713e-10,7.25398330107244e-07
10.0,4.327153856737856e-11,2.8876875329015804e-09,1.009114007445247e-09,9.129214885075028e-07
15.848931924611133,6.208793704529564e-11,2.982956996587038e-08,5.318557759562009e-09,3.623169372708889e-06
25.118864315095795,4.2805605449772086e-11,2.598157008683401e-09,9.1568812432959e-10,3.295346721709148e-07
39.81071705534973,4.29209120699452e-11,5.29505792435438e-10,1.3038917171718932e-09,4.532023441854633e-07
63.09573444801933,4.2968432627325615e-11,5.293457221973708e-10,1.5130566116337007e-09,5.038100301744361e-07
