C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,6.2061448718041486e-09,1.0517513129049129e-06,4.30135717298301e-07,0.0002184388956691
1.5848931924611136,5.9969242327519414e-09,8.065141890798736e-07,3.291402799364005e-07,0.0001673131175517
2.51188643150958,5.8709891478418584e-09,6.087421351115258e-07,2.567783472612174e-07,0.0001276795730848
3.981071705534973,5.810593800231564e-09,4.711533193141654e-07,2.1987041751249601e-07,0.0001028366199277
6.309573444801933,5.804531043135857e-09,4.23599484923101e-07,2.234398325652656e-07,9.819043239012366e-05
10.0,6.130748145826376e-09,9.830119590598177e-07,4.0298980866924754e-07,0.0001783913761536
15.848931924611133,5.764358535132734e-09,4.135216918394077e-07,1.256286179153247e-07,6.494469156669267e-05
25.118864315095795,5.692291625632183e-09,9.750448333061701e-08,1.532700906181118e-07,8.000222774644702e-05
39.81071705534973,5.7176923323239625e-09,9.151019356096749e-08,1.7970682112692087e-07,9.841596329315457e-05
63.09573444801933,5.7299689571692595e-09,1.1939429299643473e-07,1.9431282700329605e-07,0.0001102787669578
