C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,1.8481154308130748e-05,0.0020900053370629,0.0010303656430818,0.1458393810702735
1.5848931924611136,0.0002732566523935,0.0370428176531129,0.0172174430581522,2.3394656756080945
2.51188643150958,1.1616672738658395e-05,0.0009115250821822,0.0003635835670129,0.0501572416603278
3.981071705534973,1.0001068505868692e-05,0.0003371516033966,0.0001069704032304,0.0153958240141916
6.309573444801933,9.880575995692916e-06,0.0002082831671435,8.609925948316608e-05,0.0115428504125382
10.0,1.0253646350014182e-05,0.0006419751513245,3.83230259096558e-05,0.0062167570772129
15.848931924611133,9.81083933917032e-06,5.57126148191658e-05,9.228331042791758e-05,0.0132720695911587
25.118864315095795,9.8390148670382e-06,5.555543144327263e-05,0.0001114125344659,0.0165544558595281
39.81071705534973,9.856317982514025e-06,7.02882012391322e-05,0.0001231585782372,0.0187258152454552
63.09573444801933,9.86805178428176e-06,8.185792617556571e-05,0.0001308188809492,0.0201963105348634
