C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,0.0101323086343812,0.463407547625513,0.1440810852947426,15.341164914308182
1.5848931924611136,0.0112303690670161,0.5570968176135044,0.1631440110055354,10.136602128348375
2.51188643150958,0.0093927793013454,0.0516095537028262,0.0112540876552035,1.2898984129415612
3.981071705534973,0.0094063404470166,0.0198077844694141,0.0248225335074503,3.088796626567718
6.309573444801933,0.0094150932263747,0.0221352667710109,0.0328521151121031,4.15555272420245
10.0,0.0094214820544266,0.0315788378086748,0.0377671544294069,4.807005774468244
15.848931924611133,0.0094258878982371,0.0384108492517075,0.0408163256078427,5.210516247815293
25.118864315095795,0.0094288177857518,0.0428513503669487,0.0427212416177036,5.462355563196226
39.81071705534973,0.0094307258188611,0.0456795245463058,0.0439160041752027,5.620212945273594
63.09573444801933,0.0094319532237975,0.0474704218080696,0.044667094164964,5.719412600499647
