C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,0.1429272830413465,1.630270572223809,0.498570569881716,6.115754298754123
1.5848931924611136,0.515576731459765,5.983414699110423,1.6746286834445967,13.122494678739123
2.51188643150958,0.0728094506310958,0.4544314432554325,0.0719663998442347,1.069434765231985
3.981071705534973,0.0697958844349624,0.15175891485319,0.0993517019979305,1.5600120988218815
6.309573444801933,0.0715312685992437,0.109408317866352,0.1301236145400395,1.908541355436649
10.0,0.072689642391185,0.1198085568712762,0.1486201850113054,2.1347782851694745
15.848931924611133,0.0734082124077616,0.1343553428858208,0.1600112952280239,2.280666514383265
25.118864315095795,0.0738547716239293,0.1452087151474458,0.1671224502786034,2.374134734489456
39.81071705534973,0.074133800228488,0.1524893896826677,0.1715874059237427,2.4337134944492296
63.09573444801933,0.0743088077995716,0.1572149273420808,0.1743978924204692,2.4715551157713747
