C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,1.544023440601106e-06,2.1130096165554377e-05,2.6125283906994825e-05,0.0011990442603218
1.5848931924611136,1.5262837085997145e-06,2.055048854666901e-05,2.274599281343839e-05,0.0011573003302127
2.51188643150958,1.5087321614823556e-06,2.007387525781105e-05,1.862208049961229e-05,0.0011178294459449
3.981071705534973,1.4966558978560274e-06,2.019116230134093e-05,1.4294186087691376e-05,0.0011003543133844
6.309573444801933,1.4992690677231462e-06,2.23992958607173e-05,1.1241450659989487e-05,0.001149745745942
10.0,1.562829272651438e-06,3.6262606491908886e-05,1.3035784402095011e-05,0.001508218102736
15.848931924611133,6.748432817308799e-06,0.0005509494730094,9.558539951654192e-05,0.0083804590185667
25.118864315095795,1.41739810385468e-06,3.702788745919737e-05,9.737587099200347e-06,0.0004804093941738
39.81071705534973,1.4331925108981925e-06,7.719296443847358e-06,1.4311210583474146e-05,0.0007245117157624
63.09573444801933,1.4514630538329132e-06,6.045744021441579e-06,1.6868980281990342e-05,0.0008294274742457
