C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,1.965952273791313e-06,0.0001446399919953,5.761085021870727e-05,0.0072827927219744
1.5848931924611136,1.7775175311714228e-06,0.0001141579675332,4.519091150458752e-05,0.0056200556819601
2.51188643150958,1.6429119854243965e-06,8.757970219245114e-05,3.568332965922786e-05,0.0042485063716328
3.981071705534973,1.5679511208384864e-06,6.769015659769747e-05,3.0729480107497835e-05,0.0033946190455098
6.309573444801933,1.5561003621185252e-06,6.0118884665763134e-05,3.186109696945181e-05,0.0033637704983406
10.0,1.9731322009930137e-06,0.0001510269464842,6.333795524253195e-05,0.0069453489836222
15.848931924611133,1.525926398613265e-06,6.469333838664203e-05,1.777326026488193e-05,0.0022660920262843
25.118864315095795,1.4115594487197754e-06,1.6330264167000836e-05,2.0775632035581007e-05,0.0027382854555904
39.81071705534973,1.442937378747454e-06,1.1794677525135394e-05,2.498833438783076e-05,0.0034261831412651
63.09573444801933,1.4575257717278607e-06,1.477719809375e-05,2.7212045758661847e-05,0.0038467737985097
