order,hmax,C_w,ndof,res,E_u,E_curl_u,E_H_curl_u,E_p,E_grad_p,E_gamma_p_u,E_u_n_Gamma,HT_E_gamma_p_u,HT_E_gamma_n_u,HT_E_u,E_h_grad_p,X_E_u_p
1,0.2886751345948129,0.0,657,ZeroCoefficientFunction,0.1525057977254679,1.8366385794961202,1.842959383717777,0.9403126150592217,13.772941562149287,1.1231043325294952,0.41076603093534114,0.71146763560342,3.279587599777509,3.8286264261689116,4.59098052071643,6.051418863935643
1,0.2886751345948129,2.2222222222222223,657,ZeroCoefficientFunction,0.25757134724217684,2.967531637172811,2.978688808274825,0.9138652005804104,8.55605333461435,1.1231043325294952,0.7912206126568104,1.37043430111737,5.199809229286145,6.147250866134399,2.852017778204784,6.837971060425611
1,0.2886751345948129,4.444444444444445,657,ZeroCoefficientFunction,0.0947286468453509,0.6460990889549864,0.6530065461246269,0.2610821675433728,3.8280999535178446,1.1231043325294952,0.15337334207518186,0.2656504210008564,1.5651601320844997,1.7165995265426108,1.276033317839282,2.1547943894885626
1,0.2886751345948129,6.666666666666667,657,ZeroCoefficientFunction,0.09020683441956613,0.12286804652343171,0.15242647352898775,0.19464404269903499,2.2234709877245185,1.1231043325294952,0.09696852232443601,0.16795440740080006,0.26864086094826944,0.3515827427062719,0.741156995908173,0.8430957365036996
1,0.2886751345948129,8.88888888888889,657,ZeroCoefficientFunction,0.09087056659402665,0.07584634067325792,0.1183643834379385,0.21824471096362758,2.7373010445925465,1.1231043325294952,0.09093443709827194,0.15750306521188318,0.14208320800884303,0.24290940866064906,0.9124336815308491,0.9691083313393826
1,0.2886751345948129,11.11111111111111,657,ZeroCoefficientFunction,0.09136288177640124,0.07818555857229244,0.12025039598999265,0.23452030084201123,3.104383777189597,1.1231043325294952,0.08848801682458499,0.1532657410011908,0.14218415219414787,0.24117810480133298,1.0347945923965327,1.088102246204692
1,0.2886751345948129,13.333333333333334,657,ZeroCoefficientFunction,0.09172165952130051,0.08679997009111699,0.12628181830002363,0.247111572804743,3.3918114154021373,1.1231043325294952,0.08698364618376757,0.15066009461788007,0.15762867545079207,0.251976905822339,1.1306038051340461,1.1844076387230107
1,0.2886751345948129,15.555555555555557,657,ZeroCoefficientFunction,0.09199967910764917,0.09558973945206266,0.132670038985536,0.25734576556000316,3.6264390364528154,1.1231043325294952,0.08594697423131212,0.14886452612544562,0.1737822336978496,0.2645037828311556,1.2088130121509388,1.263890023905989
1,0.2886751345948129,17.77777777777778,657,ZeroCoefficientFunction,0.09222431160507381,0.1034405406751096,0.13858307655045315,0.26591103401158744,3.823020520849512,1.1231043325294952,0.0851875008377814,0.14754907962085367,0.1881842347682768,0.27638615417287404,1.2743401736165043,1.330804592087255
1,0.2886751345948129,20.0,657,ZeroCoefficientFunction,0.09241116200258782,0.1102567092085885,0.14386231191029766,0.27322439563341766,3.9908169571928624,1.1231043325294952,0.0846083046640552,0.1465458824204104,0.20063423300614847,0.2870995574648592,1.3302723190642878,1.3880569761844948
1,0.14433756729740652,0.0,5319,ZeroCoefficientFunction,1.620143366080141,49.69214140962427,49.718545658544244,24.702170850799014,699.6479028318096,1.1231043326040566,7.454586880784964,18.259934101169062,84.52211543481522,99.74641333579876,116.60798380529845,155.4251141393656
1,0.14433756729740652,2.2222222222222223,5319,ZeroCoefficientFunction,0.12099375097370123,2.5386401971795047,2.541521894163078,0.7766490121361038,12.899056681305764,1.1231043326040566,0.4697069334739015,1.1505423156584778,4.367135997408352,5.182176953606553,2.1498427802175692,5.663917870714271
1,0.14433756729740652,4.444444444444445,5319,ZeroCoefficientFunction,0.054999961148469646,0.09262421992818137,0.10772298660748914,0.09936077117319177,1.4038713187408594,1.1231043326040566,0.04853660311747995,0.11888991148580677,0.15949472525886094,0.22622471191746446,0.23397855312347024,0.34028832840992906
1,0.14433756729740652,6.666666666666667,5319,ZeroCoefficientFunction,0.05542896502598054,0.04487259817023428,0.07131563804943966,0.12336228794044496,2.0242420868333983,1.1231043326040566,0.04243379618650473,0.10394114850619668,0.05847962650126931,0.1389588043231298,0.3373736811388906,0.3851607509988797
1,0.14433756729740652,8.88888888888889,5319,ZeroCoefficientFunction,0.05561826931708705,0.04430237729657028,0.0711062058891887,0.1337079798706689,2.30427892089404,1.1231043326040566,0.04079732566493936,0.09993263074925524,0.04704764193824811,0.13136249014224832,0.384046486815663,0.4273472027905655
1,0.14433756729740652,11.11111111111111,5319,ZeroCoefficientFunction,0.05572657266051004,0.05070857633810339,0.0753446123802118,0.13956640446442906,2.466899733338024,1.1231043326040566,0.04011493056650745,0.09826111095512072,0.05842187271919774,0.13691300797541864,0.4111499555563262,0.45526721709560275
