order,hmax,C_w,ndof,res,E_u,E_curl_u,E_H_curl_u,E_p,E_grad_p,E_gamma_p_u,E_u_n_Gamma,HT_E_gamma_p_u,HT_E_gamma_n_u,HT_E_u,E_h_grad_p,X_E_u_p
1,0.14433756729740652,1.0,4662,1.577540697115942e-12,0.2533890590729558,6.440274915807838,6.4452577145092915,3.3061493899950483,71.33021218215276,0.7501265662130073,1.122022165358944,2.7483817852221413,11.064393852797908,13.096402589017128,11.88836869702514,17.99387937158039
1,0.14433756729740652,1.096478196143185,4662,5.1760536262994e-12,0.19525060656244456,4.89169873961789,4.8955938718956515,2.4312412062399686,52.573621158381115,0.7501265662130073,0.8672978466450763,2.124437179295081,8.429477451890907,9.976781184292392,8.762270193063282,13.49905461646908
1,0.14433756729740652,1.202264434617413,4662,2.558021686766483e-12,0.1714776919709444,4.271585167484368,4.275025665644142,2.0086001389914876,44.57742067548798,0.7501265662130073,0.7373465976083978,1.8061229277178703,7.376104488365728,8.714633778606727,7.429570112581129,11.6266000391924
1,0.14433756729740652,1.318256738556407,4662,2.101524419995764e-12,0.10787339816222502,2.3662098669340805,2.368667516644593,1.1039831887287717,23.982667849886205,0.7501265662130073,0.4213684286989417,1.0321376440307366,4.101327013745153,4.847347438992621,3.9971113083142593,6.379063793877421
1,0.14433756729740652,1.4454397707459277,4662,7.449387991277268e-13,0.08850707645229498,1.6159708505280408,1.6183928115072843,0.7454730025653352,15.064982809542501,0.7501265662130073,0.2956630580588574,0.7242236280350882,2.7831731316831068,3.2999617932129923,2.5108304682570157,4.213044917224005
1,0.14433756729740652,1.5848931924611134,4662,6.551252644674056e-13,0.13164239493285776,2.8672930308332463,2.8703134053285124,1.2712264406078162,25.017656429637487,0.7501265662130073,0.5148867870591802,1.2612099035960653,4.936561795138994,5.847990408932224,4.169609404939469,7.2938776433405685
1,0.14433756729740652,1.7378008287493754,4662,9.706465024093137e-13,0.13154438537560578,2.862903626391743,2.8659241265830535,1.184065765741855,22.772294943798006,0.7501265662130073,0.5164658357071206,1.265077767062551,4.933971015100528,5.844485677448354,3.7953824906328983,7.06858916769843
1,0.14433756729740652,1.9054607179632472,4662,3.0264991132508387e-13,0.18768700425360638,4.161779278584231,4.166009262497957,1.7221401392201805,30.255617094290077,0.7501265662130073,0.7756415238073336,1.8999259566428037,7.1677423013438135,8.505403077715798,5.04260284904821,10.036707212366005
1,0.14433756729740652,2.089296130854039,4662,7.155218940920766e-13,0.1254186798682748,2.7059314694771204,2.708836459213902,0.9583367660557021,17.36324137275221,0.7501265662130073,0.5129997393563133,1.2565875996037503,4.671029766181789,5.54394502451104,2.8938735621252905,6.326787493313059
1,0.14433756729740652,2.2908676527677727,4662,9.745438503877528e-13,0.5101947068768555,11.81438729861638,11.825398339194885,3.7613303590858997,59.85630025669198,0.7501265662130073,2.2561977235274036,5.526533181471207,20.33990266705029,24.16804202643679,9.976050042781727,26.415212206565396
1,0.14433756729740652,2.51188643150958,4662,5.19801171173601e-13,0.13592456766761837,2.74157285800087,2.7449402951289645,0.7176028702625898,10.978815246302572,0.7501265662130073,0.545823092257893,1.3369880658599234,4.722522618611104,5.623562411440637,1.8298025410503793,5.957145743895441
1,0.14433756729740652,2.7542287033381663,4662,1.3578046367044095e-12,0.14358394425099502,2.7242139020159013,2.7279951856598603,0.5181158164729067,6.888308923542499,0.7501265662130073,0.5792738533721273,1.4189253620975317,4.66429180707779,5.586673874297656,1.1480514872570522,5.726900662176051
1,0.14433756729740652,3.019951720402016,4662,6.059003123732233e-14,0.19300034952247286,3.846091714372684,3.850931135489443,0.3039373383603211,4.380240218993332,0.7501265662130073,0.8649497387662002,2.1186855131308255,6.784555719160982,8.083853983109321,0.7300400364988688,8.122440001672729
1,0.14433756729740652,3.311311214825911,4662,6.061841553990509e-14,0.06431168460403214,0.7710463373871684,0.7737237537873422,0.2114862751434351,4.068589024907898,0.7501265662130073,0.18639708348546183,0.45657774408234464,1.4975251440620898,1.7463370925065644,0.6780981708179646,1.8852683667067125
1,0.14433756729740652,3.6307805477010135,4662,5.904684472094974e-14,0.059596297439256804,0.5102549951271472,0.5137235430858443,0.22130480178356574,4.471862069817218,0.7501265662130073,0.1333152765905286,0.3265544025648066,1.0742604879471984,1.2347409657574677,0.7453103449695161,1.459125963764173
1,0.14433756729740652,3.9810717055349727,4662,5.420214807083328e-14,0.05918290726881998,0.478702500249049,0.4823470744779951,0.24142866759690793,5.323954290841362,0.7501265662130073,0.11955548832009412,0.2928499423335086,1.0815418893227662,1.2198986217477576,0.8873257151402031,1.527673843995756
1,0.14433756729740652,4.36515832240166,4662,6.7029398510009e-14,0.06090038443283514,0.7172335641387814,0.7198144499461555,0.303350671656086,8.051505417941854,0.7501265662130073,0.13297004416290933,0.325708759274477,1.714519323298129,1.887801776718647,1.3419175696569396,2.3359280686549972
1,0.14433756729740652,4.786300923226384,4662,5.1915353863304174e-14,0.12507779851826004,4.845848703175168,4.847462646555065,1.260162019992033,42.692756838765085,0.7501265662130073,0.6477355242485875,1.586621522683221,11.814466519356818,12.868445170376702,7.115459473127323,14.758545081861532
1,0.14433756729740652,5.248074602497725,4662,6.289408337964688e-14,0.058742086678644126,0.5030767176505152,0.506494636288853,0.22830166375367691,4.174538802991263,0.7501265662130073,0.11577093081795055,0.2835797075510346,1.1908351908465555,1.324780253054317,0.6957564671651918,1.5136847195362533
