order,hmax,C_w,ndof,res,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p,L2_error_gamma_p_u,L2_error_u_n,L2_error_p_Gamma,HT_error_u,HT_error_gamma_n,HT_error_gamma_p
1,0.17677669529663698,1.0,78,3.281642169567969e-15,0.14292728304134653,1.6302705722238087,0.498570569881716,6.115754298754123,0.3998514219696788,0.24251293978309424,1.850294929054376,2.888217299298088,2.241442433448497,0.7997028439393576
1,0.17677669529663698,1.5848931924611136,78,4.668566712312031e-15,0.515576731459765,5.983414699110423,1.6746286834445967,13.122494678739123,1.6862747716739643,0.24251293978309424,5.764033025979385,10.858337361567234,8.394184237179761,3.3725495433479287
1,0.17677669529663698,2.51188643150958,78,2.4353526250951255e-15,0.07280945063109584,0.4544314432554325,0.07196639984423474,1.069434765231985,0.1817704955390793,0.24251293978309424,0.20318037690510618,0.9601164562682672,0.7601660375751,0.3635409910781586
1,0.17677669529663698,3.981071705534973,78,3.007971596720103e-15,0.06979588443496249,0.15175891485319007,0.09935170199793057,1.5600120988218817,0.10792143819190839,0.24251293978309424,0.3005702030595748,0.402773065938092,0.29620223098088666,0.21584287638381677
1,0.17677669529663698,6.309573444801933,78,2.657184593619275e-15,0.07153126859924376,0.10940831786635205,0.13012361454003957,1.908541355436649,0.0951696112099256,0.24251293978309424,0.42970622162808875,0.2930988676024156,0.18052984294199914,0.1903392224198512
1,0.17677669529663698,10.0,78,2.787293544596219e-15,0.07268964239118506,0.11980855687127626,0.14862018501130547,2.1347782851694745,0.09146365464289842,0.24251293978309424,0.5060558102693233,0.27517860297264085,0.15040940343242015,0.18292730928579684
1,0.17677669529663698,15.848931924611133,78,9.530347311883168e-15,0.07340821240776163,0.13435534288582082,0.1600112952280239,2.280666514383265,0.0901961366062295,0.24251293978309424,0.552812689999965,0.27969466109114016,0.14915631866354093,0.180392273212459
1,0.17677669529663698,25.118864315095795,78,6.724857115199785e-15,0.07385477162392931,0.14520871514744582,0.16712245027860342,2.374134734489456,0.08973078852202211,0.24251293978309424,0.5819271539502963,0.28745998355870855,0.15455318264611287,0.17946157704404422
1,0.17677669529663698,39.810717055349734,78,2.2381986676954193e-14,0.07413380022848809,0.15248938968266776,0.17158740592374272,2.4337134944492296,0.0895537824033448,0.24251293978309424,0.6001827145375974,0.29396921151304045,0.15996731930149455,0.1791075648066896
1,0.17677669529663698,63.09573444801933,78,2.4703725466403392e-14,0.07430880779957169,0.1572149273420808,0.1743978924204692,2.4715551157713747,0.08948512793859587,0.24251293978309424,0.6116647941239067,0.2986366719222874,0.16405845614384834,0.17897025587719173
2,0.17677669529663698,1.0,214,8.35576318326333e-15,0.03192044625690085,0.7258706900487378,0.3691465070169207,8.816212132606001,0.12440610356658466,0.24251293978309424,1.7164288824525702,1.6398186477292014,1.448858346927289,0.24881220713316932
2,0.17677669529663698,1.5848931924611136,214,8.214238132192124e-15,0.0972164176630957,2.2239183729792233,1.0078849805340053,23.004114128989446,0.3897948617685314,0.24251293978309424,4.5024685381238685,5.041740973102386,4.456021537344383,0.7795897235370628
2,0.17677669529663698,2.51188643150958,214,5.0428030254540727e-14,0.21430462099319642,4.87088709529009,1.5134752256938084,31.60563411754347,0.8687065371094967,0.24251293978309424,6.871741882505224,11.027871230544664,9.737754983637911,1.7374130742189935
