order,hmax,C_w,ndof,res,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p,L2_error_gamma_p_u,L2_error_u_n,L2_error_p_Gamma,HT_error_u,HT_error_gamma_n,HT_error_gamma_p
1,0.14433756729740652,10.0,2197,7.81831412111653e-12,0.1042078470747273,1.7130742018265779,0.5896395532680564,11.299957774106273,0.4703096377076495,0.7800618501046964,3.349627320760898,3.289456292747545,2.5588851622564985,1.1520186334969755
1,0.14433756729740652,11.220184543019636,2197,4.813295914011217e-12,0.10239288059171484,1.6778850283109286,0.5925142746697643,11.500879321260658,0.4604601051631035,0.7800618501046964,3.3851025415478238,3.221192348335606,2.505624996696251,1.127892304557901
1,0.14433756729740652,12.589254117941675,2197,2.170448640939994e-12,0.10088834456071032,1.6482490645119436,0.5963339107328528,11.71307657035896,0.452228017649461,0.7800618501046964,3.4258512564326833,3.163937523688194,2.4610030754524628,1.1077278906315404
1,0.14433756729740652,14.12537544622754,2197,2.8557924533823158e-12,0.09963558059963754,1.6231256197622606,0.6008909959444911,11.93328122152839,0.44530556749509925,0.7800618501046964,3.4705652088324666,3.1155864363364403,2.4233515067320965,1.0907714199835028
1,0.14433756729740652,15.848931924611133,2197,6.1306853801302135e-12,0.0985890357092917,1.6017153934675383,0.6060082272710458,12.158494760809107,0.4394556530667276,0.7800618501046964,3.5181098954494603,3.0745320729472554,2.3914029024559063,1.076442114595047
1,0.14433756729740652,17.78279410038923,2197,1.0307973948301819e-12,0.09771271523941252,1.5833926055242893,0.6115325825873207,12.385988402763296,0.43449224389677465,0.7800618501046964,3.567498051139135,3.0395221562382773,2.3641729971125574,1.0642842947440112
1,0.14433756729740652,19.952623149688797,2197,1.9112747188141112e-12,0.09697775521082662,1.5676592222696746,0.6173315312147097,12.613306707730768,0.4302671047881313,0.7800618501046964,3.6178724261925272,3.009563790454508,2.3408834652467045,1.0539348598355562
1,0.14433756729740652,22.3872113856834,2197,1.7382000864623282e-12,0.09636072059155368,1.5541131545305167,0.6232905092769443,12.838271600877322,0.426660562191579,0.7800618501046964,3.668493878568185,2.9838579510290386,2.3209092559563067,1.045100670738392
1,0.14433756729740652,25.118864315095795,2197,3.102942527073885e-12,0.09584238719741493,1.5424256450850504,0.6293111348755821,13.058984367833352,0.42357492760963905,0.7800618501046964,3.718732287344306,2.961753276924042,2.30374163563831,1.0375424404799516
1,0.14433756729740652,28.183829312644534,2197,4.239809460633532e-12,0.09540685278965294,1.5323248856038227,0.635309831309585,13.273824117405503,0.42092971503588966,0.7800618501046964,3.7680587650959394,2.9427127838529703,2.2889616763175615,1.0310630194130723
1,0.14433756729740652,31.622776601683793,2197,3.0139829441842693e-12,0.09504087629308518,1.5235839579867942,0.6412166535563899,13.48144199065795,0.4186580970694514,0.7800618501046964,3.8160382899471568,2.926289460593371,2.276220891857305,1.0254987145047603
1,0.14433756729740652,35.48133892335755,2197,6.241159439020538e-12,0.09473337756327424,1.5160118340343594,0.6469741978523843,13.680751003152958,0.4167042327828593,0.7800618501046964,3.86232230249507,2.9121081014552415,2.2652268749707054,1.0207127439759618
1,0.14433756729740652,39.810717055349734,2197,3.770487777370983e-12,0.09447505177455474,1.5094465695110817,0.6525365305386865,13.87091183822157,0.4150212196144638,0.7800618501046964,3.906641087849125,2.899851588787871,2.2557324927830584,1.0165902204830073
1,0.14433756729740652,44.6683592150963,2197,1.0619248632658808e-12,0.09425806680701859,1.5037500903036016,0.6578681091733507,14.051315189884956,0.41356949899637446,0.7800618501046964,3.9487959344571055,2.8892503918084387,2.2475276475091976,1.0130342457196104
1,0.14433756729740652,50.11872336272725,2197,5.011052272423181e-12,0.09407582164307067,1.498804143833523,0.662942692102252,14.221561415282492,0.4123155968814066,0.7800618501046964,3.988651160730736,2.880074414051516,2.240432904617716,1.0099628253505424
1,0.14433756729740652,56.23413251903491,2197,4.170142422318178e-12,0.09392275035685715,1.4945071097399216,0.6677422462506366,14.3814383257025,0.41123111515768634,0.7800618501046964,4.0261261499915,2.872126571158298,2.2342944918279506,1.0073063984920536
1,0.14433756729740652,63.09573444801933,2197,2.3427973587784152e-12,0.09379416080842733,1.4907714489966455,0.6722558697488786,14.530897945565538,0.410291913866743,0.7800618501046964,4.061187549941813,2.8652376547666636,2.228980312394172,1.0050058345634798
1,0.14433756729740652,70.79457843841381,2197,3.3516239341657336e-12,0.09368610028895898,1.487521631623752,0.6764787482417302,14.670033018097708,0.40947744077569737,0.7800618501046964,4.093841786332922,2.8592621618784686,2.224376715709072,1.0030107910811903
1,0.14433756729740652,79.43282347242814,2197,2.6643144521874247e-12,0.09359524253787986,1.4846924273107278,0.6804111629204739,14.799053949676551,0.40877017652454917,0.7800618501046964,4.124128020235194,2.85407485792523,2.220385839939961,1.0012783545525648
1,0.14433756729740652,89.12509381337459,2197,1.5097247759993367e-12,0.09351879205993781,1.4822274753279248,0.684057565633923,14.918266774517425,0.4081551718147833,0.7800618501046964,4.15211165056223,2.8495679058878784,2.2169233932425194,0.9997719068242311
