order,hmax,C_w,ndof,res,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p,L2_error_gamma_p_u,L2_error_u_n,L2_error_p_Gamma,HT_error_u,HT_error_gamma_n,HT_error_gamma_p
1,0.35355339059327395,1.0,21,5.967791738643096e-14,0.7286186534296057,5.21203099943667,2.1748581835020433,11.566384544376621,1.9705853438222662,0.6698099996893653,6.011001216517681,9.524324256681014,7.433046957379843,2.7868285190470976
1,0.35355339059327395,1.2589254117941673,21,1.2491936348860244e-15,0.449066747418818,2.5394909186332946,1.045560605547864,5.093258895768951,1.0489444563158785,0.6698099996893653,2.9106761429217918,4.721953287972476,3.666824080790373,1.4834314762979879
1,0.35355339059327395,1.5848931924611136,21,7.362751734890952e-16,0.17200799617871884,0.9495762582433127,0.2529287596800842,1.4473818765532023,0.44880181245312367,0.6698099996893653,0.8191353590462165,1.7783548432693448,1.3521900731362917,0.6347016099888337
1,0.35355339059327395,1.9952623149688797,21,1.424519598286949e-15,0.14452049080720825,0.4760645944173907,0.11487374949169715,0.9327454666265254,0.3067416952419615,0.6698099996893653,0.40374672164414005,0.9568653917001723,0.6927386031633781,0.43379826555649664
1,0.35355339059327395,2.51188643150958,21,1.3100918357845358e-15,0.14405014413407088,0.3110867907553882,0.13294605132440412,1.1950959643446346,0.26719038339606194,0.6698099996893653,0.4585000781338526,0.6920264654800585,0.46754014967553353,0.3778642639343778
1,0.35355339059327395,3.1622776601683795,21,6.703129537951225e-16,0.14660253187097966,0.2186462890850148,0.17710101525660601,1.5868395670045046,0.24584575667288672,0.6698099996893653,0.600567607854592,0.5666984043496244,0.3618954369188046,0.3476784033386722
1,0.35355339059327395,3.981071705534973,21,8.70575431174684e-16,0.17926663009005372,0.9284303995387112,0.201123614691055,1.8573067872955187,0.39207363689980523,0.6698099996893653,0.7239922294450408,2.145249382647495,1.8440531198407282,0.5544758547526489
1,0.35355339059327395,5.011872336272724,21,1.25019536328026e-15,0.15259079536585737,0.08706408064079756,0.26163633615325976,2.3529147004817084,0.21961336453814453,0.6698099996893653,0.9030724234368612,0.4099909845067969,0.20191196755297194,0.3105801986082305
1,0.35355339059327395,6.309573444801933,21,1.2168612236989583e-15,0.15516896704607852,0.07512464836553152,0.30364653833681116,2.733703780450082,0.2107328709589098,0.6698099996893653,1.059603358901743,0.39972728138638547,0.20308641646646328,0.29802128414790957
1,0.35355339059327395,7.943282347242816,21,1.6871931585629293e-15,0.15768520976196324,0.09109639294768171,0.3436160552717091,3.102171017185714,0.20383731394004362,0.6698099996893653,1.214062575056612,0.4085499749022771,0.22505688769356672,0.288269493891712
1,0.35355339059327395,10.0,21,1.3480933364468521e-15,0.1600836071351845,0.11507969200134949,0.3819135949390641,3.4586960346171107,0.19830302068777303,0.6698099996893653,1.3658147869326769,0.4263636225923094,0.2535106819400497,0.2804428213162011
1,0.35355339059327395,12.589254117941675,21,3.010672440172706e-15,0.16235700421297083,0.13877615175596958,0.41842338202651297,3.8005822085187124,0.1938510113521142,0.6698099996893653,1.513020218415268,0.44778731063954585,0.282379937764912,0.2741467293339007
1,0.35355339059327395,15.848931924611133,21,3.569256680022337e-15,0.1644974626587102,0.1600288919491019,0.45283080214588806,4.123840182457024,0.19030600108035065,0.6698099996893653,1.6533786488456186,0.46979894199162514,0.30920807932919614,0.26913332772882076
1,0.35355339059327395,19.952623149688797,21,9.679212314760368e-15,0.1664919059391271,0.17846241254700032,0.4847578288118456,4.424275970488934,0.18753369991592558,0.6698099996893653,1.7846120725104349,0.4908041333111964,0.3331404097849778,0.26521270182310813
1,0.35355339059327395,25.118864315095795,21,6.909396418535874e-15,0.16832497497894405,0.19419862754220835,0.5138680377925355,4.698365241044268,0.1854138872449121,0.6698099996893653,1.9048443273353508,0.510019087992689,0.35400063108618446,0.2622148339940705
1,0.35355339059327395,31.622776601683793,21,9.744287498668648e-15,0.16998330185446028,0.2074962454630006,0.5399359774173117,4.943812050423416,0.18383177678940518,0.6698099996893653,2.0128324203889605,0.527112340227301,0.3719007395989099,0.25997739193072034
