order,hmax,C_w,ndof,res,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p,L2_error_gamma_p_u,L2_error_u_n,L2_error_p_Gamma,HT_error_u,HT_error_gamma_n,HT_error_gamma_p
1,0.17677669529663698,1.0,78,3.125929419795007e-15,0.14292728304134672,1.6302705722237876,0.4985705698817171,6.115754298754136,0.39985142196967954,0.24251293978309424,1.8502949290543802,2.888217299298106,2.2414424334485346,0.7997028439393591
1,0.17677669529663698,1.5848931924611136,78,6.534424449662039e-15,0.5155767314597661,5.983414699110253,1.6746286834446003,13.122494678739153,1.6862747716739679,0.24251293978309424,5.764033025979397,10.858337361566367,8.394184237178758,3.3725495433479358
1,0.17677669529663698,2.51188643150958,78,3.1179006324392245e-15,0.07280945063109585,0.45443144325548157,0.07196639984423471,1.069434765231985,0.1817704955390793,0.24251293978309424,0.20318037690510599,0.960116456268263,0.7601660375750653,0.3635409910781586
1,0.17677669529663698,3.981071705534973,78,2.9178632675435726e-15,0.06979588443496249,0.1517589148531509,0.09935170199793057,1.5600120988218817,0.10792143819190839,0.24251293978309424,0.3005702030595749,0.4027730659380311,0.29620223098082393,0.21584287638381677
1,0.17677669529663698,6.309573444801933,78,2.6134909908725646e-15,0.07153126859924376,0.1094083178664044,0.1301236145400396,1.9085413554366495,0.0951696112099256,0.24251293978309424,0.4297062216280889,0.29309886760246456,0.1805298429420469,0.1903392224198512
1,0.17677669529663698,10.0,78,2.962566468236261e-15,0.07268964239118506,0.11980855687128199,0.14862018501130547,2.1347782851694745,0.09146365464289842,0.24251293978309424,0.5060558102693233,0.2751786029726389,0.15040940343241208,0.18292730928579684
1,0.17677669529663698,15.848931924611133,78,8.84960161399073e-15,0.07340821240776163,0.13435534288580875,0.1600112952280239,2.2806665143832654,0.0901961366062295,0.24251293978309424,0.552812689999965,0.2796946610911182,0.14915631866351065,0.180392273212459
1,0.17677669529663698,25.118864315095795,78,7.44299691048474e-15,0.07385477162392931,0.14520871514752912,0.16712245027860345,2.374134734489456,0.08973078852202211,0.24251293978309424,0.5819271539502964,0.2874599835587465,0.1545531826461053,0.17946157704404422
1,0.17677669529663698,39.810717055349734,78,2.2419228006054423e-14,0.07413380022848809,0.15248938968267042,0.17158740592374272,2.43371349444923,0.0895537824033448,0.24251293978309424,0.6001827145375973,0.29396921151306116,0.15996731930153002,0.1791075648066896
1,0.17677669529663698,63.09573444801933,78,2.3671596590986975e-14,0.07430880779957169,0.15721492734211454,0.1743978924204692,2.4715551157713755,0.08948512793859587,0.24251293978309424,0.6116647941239066,0.29863667192233206,0.16405845614389733,0.17897025587719173
2,0.17677669529663698,1.0,214,5.416393170626834e-15,0.031920446256901505,0.7258706900488007,0.369146507016929,8.816212132606198,0.12440610356658734,0.24251293978309424,1.7164288824526093,1.6398186477295593,1.4488583469276617,0.24881220713317467
2,0.17677669529663698,1.5848931924611136,214,6.7761609048391014e-15,0.0972164176630955,2.2239183729791807,1.0078849805340033,23.0041141289894,0.3897948617685305,0.24251293978309424,4.5024685381238605,5.041740973102559,4.456021537344601,0.779589723537061
2,0.17677669529663698,2.51188643150958,214,4.8873511863017885e-14,0.21430462099320285,4.870887095290734,1.5134752256938535,31.60563411754442,0.868706537109523,0.24251293978309424,6.8717418825054315,11.027871230545946,9.737754983639034,1.737413074219046
2,0.17677669529663698,3.981071705534973,214,3.781269971798661e-15,0.007624240504429402,0.08417472331209376,0.009783140428880567,0.15328112237288835,0.022059834574457295,0.24251293978309424,0.03822160151044892,0.19656233144514887,0.17189151185967838,0.04411966914891459
2,0.17677669529663698,6.309573444801933,214,4.375502024846444e-15,0.007052080080962704,0.11108181743993807,0.014354780688781685,0.40150091024699625,0.024943496499702452,0.24251293978309424,0.06366355369712678,0.29967420773577114,0.2737279976770944,0.049886992999404904
2,0.17677669529663698,10.0,214,6.447438058391572e-15,0.006943989943284029,0.02523785735287546,0.03376513266365243,0.8880537328179111,0.01183940385439083,0.24251293978309424,0.16636087802400054,0.06352127080193894,0.05281190651441475,0.02367880770878166
2,0.17677669529663698,15.848931924611133,214,1.788413162382679e-14,0.007122612728629162,0.021006957280183057,0.04286655076074875,1.1522008732679743,0.01030960005968021,0.24251293978309424,0.21249303028429642,0.04456359699056094,0.032691572261386165,0.02061920011936042
2,0.17677669529663698,25.118864315095795,214,2.476340528614089e-14,0.0072459019146739155,0.025356575305062405,0.04868210403523085,1.3281822433646,0.009652007111721064,0.24251293978309424,0.24178404773940143,0.05033045421654882,0.03827598007558899,0.019304014223442127
2,0.17677669529663698,39.810717055349734,214,2.5834459602570548e-14,0.007331572280930438,0.02996435174440425,0.05245969706057765,1.4448624319431183,0.00936855101273041,0.24251293978309424,0.2607664162033745,0.05958586422975198,0.047410778269513974,0.01873710202546082
2,0.17677669529663698,63.09573444801933,214,5.198051393920722e-14,0.007389498116262464,0.03337196823960126,0.05490216649841332,1.521159521598009,0.009249636463321649,0.24251293978309424,0.27302572788850193,0.066898540973063,0.05445088372942123,0.018499272926643297
3,0.17677669529663698,1.0,422,1.5128887441190037e-14,0.002505110668033286,0.08427138228570345,0.04000154110929986,1.4613686459494064,0.01130135310781328,0.24251293978309424,0.174388432719342,0.22317646003217712,0.20539938785795286,0.02260270621562656
3,0.17677669529663698,1.5848931924611136,422,4.818995847971957e-15,0.0022438226793277533,0.07506367215498003,0.03353549901210727,1.1919640228082589,0.010490508046022494,0.24251293978309424,0.14705953339626998,0.1985372825679465,0.1825849389068096,0.020981016092044988
3,0.17677669529663698,2.51188643150958,422,3.628797356364395e-15,0.0007432463873380437,0.017163208116437245,0.006487138676118025,0.24858010520210494,0.0026777812894027762,0.24251293978309424,0.02835941540168352,0.04580657720975569,0.04212401140795329,0.0053555625788055524
3,0.17677669529663698,3.981071705534973,422,6.9039001238859414e-15,0.000641992707129839,0.009413817922179955,0.002921222641533441,0.10729176687333845,0.001615287905832138,0.24251293978309424,0.01611133477750459,0.02559456157320805,0.02357144118508377,0.003230575811664276
3,0.17677669529663698,6.309573444801933,422,6.535611424685315e-15,0.0006317287189791713,0.0069337962572192805,0.002834959113749542,0.0906411136130394,0.0011975057405116934,0.24251293978309424,0.01880696018895427,0.020444024645108198,0.019072111891045164,0.0023950114810233868
